Código,Direccion,Telofono,URL,poblacion,abonados
3075A,Costado norte Iglesia Catolica,83133554,no,1800,410
3034B,Frente terminal buses ,no tiene,no,700,230
30111A,Costado norte plaza deportes,80808080,no,4380,1000
3082A,300 metros oeste de la plaza,25735103,no,2500,567
3058A,Casa familia del administrador,no tiene,no,375,85
3052A,Casa familia del administrador,84956365,no,154,35
3054A,Frente Escuela Publica MEP,84282604,no,4000,906
3022A,Contiguo Plaza deportes,no tiene,no,1870,425
3023A,Camino Tapante,no tiene,no,3225,773
30511A,Casa Administrador,88122743,no,1420,323
3082B,Contiguo Tanque de AyA,25734301,no,2847,647
3082C,Interamericana Sur 100 Este,no tiene,no,1690,384
3082D,100 metros norte de la Estacion Electrica de Jasec,83429510,no,1012,230
3074A,Frente calle a Cipreses,25366132,no,2500,580
3072A,300 Norte plaza,25366081,no,12000,2025
3073A,Centro,25302033,no,2280,438
3014A,100 m sur de tanques ASADA,25372844,no,678,154
3075B,Centro,25252525,no,3700,850
3022B,Contiguo Plaza deportes,no tiene,no,3225,733
3024A,Camino Principal Tucurrique,25771372,no,620,141
3023B,Urbanizacion INVU,83272815,no,2068,470
